token,count
addison,10
alexander,78
alexis,4
amelia,23
andrew,50
anna,40
anthony,34
aria,1
aubrey,2
audrey,1
ava,7
benjamin,24
brooklyn,38
caleb,4
carter,67
charlotte,66
chloe,41
christian,399
christopher,15
claire,5
daniel,52
david,287
eli,1
elijah,5
elizabeth,109
ella,60
emily,30
emma,203
ethan,1
evelyn,9
gabriel,15
gavin,1
grace,374
hannah,101
harper,26
henry,364
hunter,46
isaac,26
isabella,69
isaiah,5
jack,483
jackson,22
jacob,69
james,321
john,995
jonathan,76
joseph,240
joshua,31
landon,4
leah,8
lillian,3
lily,61
logan,18
lucas,1
luke,13
madison,13
mary,341
mason,21
matthew,48
mia,13
michael,49
nathan,55
noah,49
olivia,121
owen,11
riley,1
ryan,1
samuel,57
sarah,59
savannah,2
sebastian,86
sofia,5
sophia,13
victoria,82
william,421
wyatt,4
