token,count
a,68552
aa,4
aaaah,1
aaaaw,1
aage,1
aahmes,1
aalmoezen,1
aama,1
aan,33
aandacht,1
aandoen,1
aandoening,2
aandoeningen,1
aanduiden,1
aangenomen,1
aangesproken,2
aangezicht,3
aangezichtje,1
aangezien,1
aanhoorder,1
aankomen,3
aankondigen,1
aanraking,1
aanschijns,2
aanschouwer,1
aanvallen,1
aanvat,1
aanzag,2
aanzien,1
aaple,1
aardappelen,3
aarde,1
aardig,1
aaron,11
aarons,1
aaronsohn,7
aas,2
aass,1
ab,476
aback,7
abacus,2
abad,41
abaddon,1
abaft,1
abaissaient,1
abaissant,1
abajo,3
abandon,32
abandonan,2
abandonare,1
abandonarle,1
abandoned,53
abandonee,1
abandones,1
abandoning,7
abandonment,6
abandonna,3
abandonnant,1
abandonne,3
abandonnee,5
abandonnees,2
abandonner,2
abandonneroit,1
abandonnerons,1
abandono,2
abandonoit,1
abandons,3
abante,1
abase,2
abased,2
abasement,1
abases,2
abasgi,1
abash,3
abashed,10
abate,9
abated,14
abatement,3
abatements,1
abatent,1
abates,3
abatidos,1
abatimiento,1
abating,2
abatis,1
abatonio,1
abattis,1
abattoir,1
abattoirs,1
abattu,2
abattus,5
abaud,1
abaxo,1
abba,2
abbacy,2
abbas,23
abbassiah,4
abbassid,1
abbat,2
abbate,3
abbatia,2
abbatu,1
abbax,1
abbaye,2
abbe,20
abbeie,1
abbess,24
abbesse,1
abbeville,1
abbey,100
abbeyed,1
abbeys,4
abbi,1
abbild,1
abbilder,1
abbildet,1
abbildung,1
abbot,31
abbots,3
abbotsford,11
abbott,1
abbrach,1
abbrennen,1
abbreviation,2
abbtey,6
abbtissin,26
abbuesst,1
abby,1
abc,2
abd,1
abdallah,1
abdicate,1
abdicating,1
abdication,4
abdications,1
abdomen,5
abdomens,1
abdraengen,1
abdruecken,1
abdruk,2
abdurachman,7
abe,2
abeant,1
abear,1
abeau,1
abed,10
abeigh,1
abeilles,2
abeissie,1
abeja,7
abejas,7
abel,28
abelard,1
abeli,1
abelist,1
abend,52
abendbank,2
abendbrot,1
abendernst,1
abendessen,4
abendglanz,1
abendglocken,1
abendgold,1
abendhimmel,1
abendkuehle,1
abendland,1
abendlicht,2
abendluft,1
abendmahlzeit,1
abendroete,2
abendrot,1
abendruhe,1
abends,14
abendschatten,1
abendschein,3
abendsonne,2
abendsonnendufte,1
abendstern,1
abendstille,1
abendstillen,1
abendstimmung,1
abendstunden,1
abendwind,1
abenteuer,3
abenteuerlich,2
abenteuerlichen,1
abenteuerlichste,1
abenteuers,1
abentheuer,2
abentheur,1
abentheurliche,2
abentheurlicher,1
aber,896
abercrombie,1
aberd,1
aberdare,1
aberdeen,14
abergelay,1
aberglaeubisch,1
aberglaube,1
aberglauben,3
aberglaubens,1
abermal,1
abermaliges,1
abernethy,6
aberrasti,1
aberration,4
aberrationem,1
aberwitz,1
aberwiz,1
aberystwith,1
abet,1
abetir,1
abetissez,1
abetted,1
abettors,2
abex,1
abfahren,4
abfahrt,1
abfall,2
abfindungssummen,1
abfordern,1
abfragen,1
abfrezt,1
abgaenge,1
abgeben,2
abgebildet,1
abgebrannt,1
abgebraucht,1
abgebrochne,1
abgebuerstet,1
abgedreht,1
abgedroschne,1
abgedroschnen,1
abgedruekt,1
abgedrungen,1
abgefasst,1
abgefunden,1
abgegangen,3
abgehaertet,1
abgehakt,2
abgehaun,1
abgehe,1
abgehen,6
abgeholfen,2
abgeholzten,1
abgeht,4
abgekitzelten,1
abgekommne,1
abgekriegt,1
abgekuehlt,2
abgelaeugnet,1
abgelebten,1
abgelegt,1
abgelockt,1
abgemahlt,1
abgemattet,4
abgenommen,3
abgenutzt,2
abgenutzte,1
abgenuzt,2
abgeordnete,1
abgepfluekte,1
abgepruegelt,1
abgerechnet,1
abgeredet,4
abgereist,2
abgesagt,1
abgesandten,4
abgeschickt,1
abgeschiednen,1
abgeschikt,1
abgeschikte,1
abgeschlagen,4
abgeschlagenen,1
abgeschlagner,1
abgeschlossen,1
abgeschmackt,1
abgeschmakte,2
abgeschmakten,6
abgeschmaktes,2
abgeschmakteste,2
abgeschmaktheit,1
abgeschnitten,2
abgeschnittnen,1
abgeschossen,2
abgeschuettelt,1
abgeschworen,1
abgesehen,1
abgesonderten,1
abgespeist,2
abgespuelte,1
abgestandnem,1
abgestiegen,1
abgestorbene,1
abgestorbnen,1
abgetan,5
abgetragnen,1
abgetroedelt,1
abgewandt,1
abgewiesen,1
abgewiesene,1
abgewinnen,1
abgewogen,2
abgezogen,3
abgibt,1
abglanz,3
abgoetterey,2
abgoettisch,1
abgott,1
abgrund,5
abgrundkuehle,1
abgrunds,1
abhaenge,1
abhaengigkeit,1
abhaenglichkeit,1
abhainn,1
abhang,1
abhanges,1
abhangt,1
abhauen,3
abholen,3
abhominable,1
abhor,6
abhore,1
abhorred,8
abhorrence,7
abhorrent,1
abhors,3
abiad,1
abide,33
abides,3
abideth,1
abiding,19
abierta,1
abierto,3
abieticola,1
abilities,16
ability,79
abime,1
abimes,1
abingdon,3
abishag,1
abismo,3
abismos,4
abit,3
abject,4
abjectly,1
abjuration,1
abjure,6
abjured,1
abkoemling,1
abkuehlt,1
abkunft,2
abl,1
abla,5
ablandarlo,1
ablassbude,2
ablassest,1
ablasszettel,1
ablat,10
ablativo,12
ablativos,2
ablauffen,1
ablaze,3
able,511
ableaght,1
ablegen,1
ablehnte,1
ablenken,1
abler,3
ablest,8
abloeste,2
abluebatur,1
ablutions,3
ably,10
abmuedete,1
abnahm,1
abnegation,4
abnehmen,5
abneigung,1
abner,2
abnormal,4
abnormally,2
abnuzt,1
aboard,84
abode,78
abodes,11
aboennir,1
aboli,1
abolish,10
abolished,19
abolition,19
abolitionism,1
abolitionist,2
abolitionists,1
abominabitity,1
abominable,17
abominably,2
abomination,9
abominations,2
abondance,1
abondante,1
abondantes,1
abonde,1
abora,1
abord,32
abordait,1
abords,1
aborezco,3
aboriginal,11
aborigine,1
aborigines,5
abortion,1
abou,8
aboue,4
abouesayde,1
aboukir,2
abound,38
abounded,8
abounding,14
abounds,20
abouroache,1
about,4207
aboute,1
aboutige,1
aboutir,3
aboutissement,1
abouts,1
above,912
abovementioned,11
abovenamed,1
abowt,1
abpacken,3
abraeumen,1
abraham,82
abrahams,1
abrahim,2
abram,1
abrams,1
abrantes,1
abrasion,2
abrazar,1
abrazarlo,1
abre,1
abreast,12
abrechnen,1
abrede,1
abregee,1
abreise,7
abreisen,2
abreisete,2
abreissen,1
abrevia,1
abreviado,1
abreviations,1
abri,5
abricos,1
abridge,5
abridged,16
abridging,1
abridgment,4
abridgments,1
abrigo,1
abrio,2
abritee,1
abro,1
abroad,111
abrogate,1
abrogation,1
abruffe,1
abrupt,17
abruptly,38
abruptness,3
abruzzi,4
absaetze,2
absaeze,1
absalom,3
absatz,3
abscess,1
abscheu,4
abscheulich,7
abscheulichen,1
abscheulicher,2
abscheuliches,1
abscheulichste,1
abschied,16
abschiednehmen,2
abschiedsformeln,1
abschiedsgruss,1
abschiedsliedlein,1
abschikte,1
abschlage,1
abschlagen,3
abschneiden,4
abschneidern,1
abschnitt,1
abschreken,1
abschwoeren,1
abscond,1
absconded,5
absegelt,1
absehen,2
absence,132
absences,1
absent,61
absentee,5
absenteeism,2
absentees,3
absenting,1
absently,4
absentmindedly,1
absetzen,1
absicht,20
absichten,7
absichtlich,1
absichtslos,1
abside,2
absingen,1
absinthe,4
absit,1
absolon,2
absolu,4
absolude,1
absolue,2
absolument,3
absolutamente,1
absolute,108
absolutely,143
absolution,3
absolutism,3
absolve,2
absolved,2
absolveros,1
absolves,1
absorb,8
absorbant,1
absorbe,1
absorbebantur,1
absorbed,37
absorbida,1
absorbing,9
absorbs,2
absorpti,1
absorption,15
absqz,1
abstachen,1
abstain,5
abstained,4
abstaining,4
abstammte,1
abstand,1
abstellung,1
abstemious,3
abstemiousness,1
abstinence,7
abstoesst,1
abstossen,1
abstract,29
abstracted,11
abstractedly,5
abstracting,3
abstraction,13
abstractions,5
abstractly,2
abstracts,2
abstruse,5
abstruser,1
abstulerit,1
absunt,1
absurd,69
absurde,2
absurdite,1
absurdities,2
absurdity,18
absurdly,18
absurdum,1
abtat,1
abtei,1
abteilungen,1
abtey,3
abtraeufelten,1
abtragen,1
abtreiben,3
abtruennig,1
abtruennigen,2
abuela,9
abuelita,5
abuelito,5
abuelo,5
abundan,1
abundance,54
abundant,127
abundantly,22
abune,5
abury,2
abus,7
abuse,46
abused,19
abusent,1
abuses,10
abusing,3
abusionibus,1
abusive,4
abut,1
abute,2
abutment,1
abutments,2
abuts,1
abutted,1
abwaerts,3
abwandte,1
abwarf,1
abwarten,3
abwartend,1
abwaschen,1
abwechselnd,1
abwechslung,2
abwehrte,1
abweisen,4
abwenden,3
abwendend,2
abwesend,5
abwesendem,1
abwesenden,1
abwesenheit,5
abwischen,1
abyde,1
abydos,24
abysme,1
abyss,21
abysses,3
abyssinia,6
abyssinian,1
abyssinians,1
abziehen,1
abzubitten,1
abzubringen,1
abzudringen,1
abzufahren,1
abzufertigen,2
abzufinden,1
abzufuehren,1
abzug,2
abzugehen,1
abzugewinnen,1
abzuhaun,1
abzuholen,3
abzukuehlen,1
abzulaeugnen,1
abzulassen,1
